meeting_family,window,industry,届数,平均涨跌幅,最大涨跌幅,最小涨跌幅,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,权重,权重_百分比
中国国际进口博览会,T+1,银行,8,-0.003226,0.003245,-0.008452,1,7,0,0.125,0.875,0.0,-0.00088683,-0.0887
中国国际进口博览会,T+1,食品饮料,8,-0.007071,0.003527,-0.015236,1,7,0,0.125,0.875,0.0,-0.00194383,-0.1944
中国国际进口博览会,T+5,农林牧渔,8,0.00417,0.028983,-0.014213,6,2,0,0.75,0.25,0.0,0.00114634,0.1146
中国国际进口博览会,T+5,家电,8,0.005227,0.052949,-0.052021,6,2,0,0.75,0.25,0.0,0.00143691,0.1437
中国国际进口博览会,T+5,有色金属,8,-0.010009,0.00965,-0.035725,1,7,0,0.125,0.875,0.0,-0.0027515,-0.2751
中国国际进口博览会,T+5,煤炭,8,-0.007132,0.039997,-0.035894,2,6,0,0.25,0.75,0.0,-0.0019606,-0.1961
中国国际进口博览会,T+5,纺织服装,8,0.00962,0.030529,-0.009646,6,2,0,0.75,0.25,0.0,0.00264456,0.2645
中国国际进口博览会,T+5,轻工制造,8,0.018476,0.036855,-0.008365,7,1,0,0.875,0.125,0.0,0.00507909,0.5079
中国国际进口博览会,T-1,交通运输,8,0.011788,0.037403,-0.004582,6,2,0,0.75,0.25,0.0,0.00324055,0.3241
中国国际进口博览会,T-1,农林牧渔,8,0.006363,0.02196,-0.010318,6,2,0,0.75,0.25,0.0,0.0017492,0.1749
中国国际进口博览会,T-1,医药,8,0.009272,0.043825,-0.019824,7,1,0,0.875,0.125,0.0,0.00254889,0.2549
中国国际进口博览会,T-1,国防军工,8,0.010123,0.02993,-0.015391,6,2,0,0.75,0.25,0.0,0.00278283,0.2783
中国国际进口博览会,T-1,基础化工,8,0.010643,0.03359,-0.016747,7,1,0,0.875,0.125,0.0,0.00292578,0.2926
中国国际进口博览会,T-1,家电,8,0.016914,0.044996,-0.006011,7,1,0,0.875,0.125,0.0,0.00464969,0.465
中国国际进口博览会,T-1,建材,8,0.013063,0.029183,-0.007716,7,1,0,0.875,0.125,0.0,0.00359105,0.3591
中国国际进口博览会,T-1,建筑,8,0.006361,0.022844,-0.002482,6,2,0,0.75,0.25,0.0,0.00174865,0.1749
中国国际进口博览会,T-1,房地产,8,0.002697,0.024023,-0.00349,2,6,0,0.25,0.75,0.0,0.00074141,0.0741
中国国际进口博览会,T-1,有色金属,8,0.006581,0.041635,-0.030269,7,1,0,0.875,0.125,0.0,0.00180913,0.1809
中国国际进口博览会,T-1,机械,8,0.012137,0.028887,-0.012455,7,1,0,0.875,0.125,0.0,0.00333649,0.3336
中国国际进口博览会,T-1,汽车,8,0.022044,0.039351,-0.014515,7,1,0,0.875,0.125,0.0,0.00605994,0.606
中国国际进口博览会,T-1,消费者服务,8,0.022756,0.067817,-0.000562,7,1,0,0.875,0.125,0.0,0.00625567,0.6256
中国国际进口博览会,T-1,电力及公用事业,8,0.007593,0.024031,-0.004649,7,1,0,0.875,0.125,0.0,0.00208733,0.2087
中国国际进口博览会,T-1,电力设备及新能源,8,0.014804,0.040468,-0.018342,6,2,0,0.75,0.25,0.0,0.00406965,0.407
